source_id,claim,author_or_body,publisher,source_class,primary_or_secondary,title,url,pub_date,effective_date_or_version,retrieved_at,exact_location,authoritative_scope,independence_group,limitations,archive_or_hash
SEC-S11,"docs.python.org zoneinfo reference: IANA time zone keys (e.g. America/New_York, Europe/Paris) are relative normalized POSIX-style paths; zoneinfo uses system tz data if available, else falls back to the tzdata PyPI package; projects needing cross-platform reliability (esp. Windows, which lacks a system IANA database) should declare a dependency on tzdata",Python Software Foundation,docs.python.org,governing-primary,primary,zoneinfo — IANA time zone support (Python 3 standard library documentation),https://docs.python.org/3/library/zoneinfo.html,,"Python 3 current stable docs, retrieved live 2026-07-29",2026-07-29T14:03:30Z,"Module overview and ""Data sources"" sections",Python zoneinfo stdlib module,python-official,"Fetched via summarizing WebFetch tool, not verbatim; version-checking method (importlib.metadata.version) was Claude's inference, not quoted from the page, and is flagged as such in the report","N/A — live docs page, versioned with Python release"
SEC-S12,tzdata PyPI package (data-only fallback IANA tz database for Python/zoneinfo) current published version is 2026.3 as of retrieval,Python Software Foundation / tzdata maintainers,PyPI (Python Package Index),governing-primary,primary,tzdata · PyPI,https://pypi.org/pypi/tzdata/json,,"version 2026.3, retrieved via PyPI JSON API 2026-07-29",2026-07-29T14:01:52Z,JSON field info.version,Version identity of the tzdata PyPI distribution used for pinning,python-official,"JSON API queried directly (not the HTML project page, which failed to render via WebFetch); version numbering (YYYY.N) tracks IANA tzdata release cadence but the exact underlying IANA release tag (e.g. 2026a/b) was not independently confirmed in this pass","raw JSON response captured in terminal output, not saved to file"
WMO-S1,WMO abbreviated heading format T1T2A1A2ii CCCC YYGGgg (BBB); BBB required once heading already used; forms RRx (additional/subsequent issuance) CCx (corrections) AAx (amendments),World Meteorological Organization,World Meteorological Organization (WMO-No. 386),governing-primary,primary,Manual on the Global Telecommunication System (WMO-No. 386) Volume I,https://www.weather.gov/media/marine/WMO_386_Vol_I_2009_en.pdf,2009,"2009 edition (Part II, unrevised on this point per S9)",2026-07-29T13:57:46Z,Part II section 2.3.2.2 (BBB definition) and section 2.3.1/2.3.2.1 (heading format),WMO-GTS-wide-primary-authority-for-BBB-semantics,wmo-386-family,"PDF is the 2009 edition mirrored on a US NWS server, not fetched from library.wmo.int directly (that host was unreachable this session); confirmed via S9 that the 2020/2021 amendment only touched Tables B1/B7/C6 data-designator tables, not this BBB section, so no material version drift expected but the amendment text itself was not read",sha check not run; file saved locally as WMO_386_Vol_I_2009_en.pdf
WMO-S1b,Attachment II-12 full BBB indicator rules: RRx/CCx/AAx sequencing A through X; Y = lost-sequence-record special case; Z = compiled >24h after observation time; no Pxx/segment indicator defined here,World Meteorological Organization,World Meteorological Organization (WMO-No. 386),governing-primary,primary,"Manual on the Global Telecommunication System (WMO-No. 386) Volume I, Attachment II-12 ""Instructions for the use of the indicator BBB""",https://www.weather.gov/media/marine/WMO_386_Vol_I_2009_en.pdf,2009,2009 edition,2026-07-29T13:57:46Z,Attachment II-12 (pages II-12/1),WMO-GTS-wide-primary-authority-for-BBB-semantics,wmo-386-family,"Same 2009-edition mirror as S1; this attachment defines only RRx/CCx/AAx -- it does NOT define a Pxx segmentation indicator, and section 2.7.1.2(c) of the same manual states GTS bulletins ""shall no longer be segmented for transmission on the GTS"" as of 7 Nov 2007 -- see report EVIDENCE GAP on Pxx",not run
WMO-S2,"NWS Table 4 (WMO Abbreviated Heading, ttaaii_cccc_ddhhmm_bbb): bbb = AAx if amended/updated; CCx if corrected; RRx if delayed or the same-minute heading was already used; x = A..X then Z for further cases",National Weather Service / NOAA,NOAA National Weather Service,governing-primary,primary,"National Weather Service Instruction 10-1701, Text Product Formats and Codes",https://www.weather.gov/media/directives/010_pdfs/pd01017001curr.pdf,2019-10-29,"NWSI 10-1701, October 29 2019 (current/superseding March 29 2018 edition)",2026-07-29T13:57:46Z,"Section 4.1.2, Table 4 (p.14)",US-domestic-NWS-text-product-authority-alternative-to-WMO-386-for-US-products,nws-directives-family,US-domestic-product convention; confirms same RRx/CCx/AAx semantics as WMO-386 but does not itself define a Pxx code (see S1b gap),not run
WMO-S3,CLI issuance: at least twice daily; first mandatory issuance 12:30am-5:00am local time capturing previous midnight-to-midnight Local Standard Time (LST) day; second mandatory issuance 3:00-5:30pm local time capturing current-day-so-far data; CLI has no product expiration time; valid until next issuance; updates/amendments/corrections done as needed,National Weather Service / NOAA,NOAA National Weather Service,governing-primary,primary,"National Weather Service Instruction 10-1004, Climate Records",https://www.weather.gov/media/directives/010_pdfs/pd01010004curr.pdf,2025-06-05,"NWSI 10-1004, June 5 2025 (supersedes Oct 1 2024 edition)",2026-07-29T13:59:09Z,"Section 4.1 (4.1.1 Mission Connection through 4.1.5), esp. 4.1.2 Issuance Guidelines and 4.1.4 Updates/Amendments/Corrections",US-domestic-authority-for-CLI-product-issuance-and-climate-day-definition,nws-directives-family,"The afternoon/evening issuance is the 'current day so far' morning-partial style report the task calls out (captures data through the second issuance, not a full-day final); the instruction does not itself use the phrase 'VALID AS OF' verbatim -- that phrasing appears on the live product text, not in this directive",not run
WMO-S4,"KXHIGHNY series metadata: settlement_sources = [{name: NWS Climatological Report, url: forecast.weather.gov CLI product for site OKX/NYC}]; contract_terms_url and contract_url point to NHIGH filing PDFs; fee_type quadratic",Kalshi Exchange,Kalshi,governing-primary,primary,Kalshi Trade API v2 - Get Series (KXHIGHNY),https://api.elections.kalshi.com/trade-api/v2/series/KXHIGHNY,2026-03-16,last_updated_ts 2026-03-16T15:04:55Z (live API response fetched 2026-07-29),2026-07-29T13:59:09Z,"JSON fields: settlement_sources, contract_terms_url, contract_url, product_metadata.important_info",Kalshi-exchange-authoritative-series-metadata,kalshi-family,"Live/mutable endpoint -- reflects current state as of retrieval time, not a fixed document version; series-level metadata, not the per-contract rules",saved locally as kxhighny_series.json
WMO-S5,"NHIGH contract terms: Underlying = maximum temperature recorded for <date> in NWS Daily Climate Report for Central Park NY; 'Revisions made to the Underlying made after Expiration will not be taken into account'; Expiration Date = sooner of first 7:00 or 8:00 AM ET following release of data for <date>, or one week after <date>; determination delayed to 11AM ET if high temp inconsistent with 6-hr/24-hr METAR highs OR if final report high is lower than earlier report(s); revisions during statistical period or between Last Trading Time and Expiration may be taken into account",Kalshi Exchange,Kalshi,governing-primary,primary,NHIGH Contract Terms,https://assets.kalshi.com/contract_terms/NHIGH.pdf,2026-03-16,"as linked from KXHIGHNY series metadata, retrieved 2026-07-29",2026-07-29T13:59:57Z,Sections: Underlying; Instructions; Expiration Date; Expiration time; Settlement Date; Contingencies,Kalshi-exchange-authoritative-contract-rules-for-daily-high-temperature-series,kalshi-family,Templated rules document using <date>/<degrees> placeholders filled per listed contract; PDF has no visible version/revision date printed in the body -- dating relies on the linking series metadata's last_updated_ts,saved locally as NHIGH_contract_terms.pdf
WMO-S6,"Market object fields: result (enum yes/no/scalar/empty); settlement_value_dollars (nullable, filled only after determination); expiration_time (deprecated); close_time (required, trade-stop time); expected_expiration_time (nullable); latest_expiration_time (required); settlement_timer_seconds (time after determination until settlement); status enum: initialized, inactive, active, closed, determined, disputed, amended, finalized",Kalshi Exchange,Kalshi,governing-primary,primary,Kalshi API Reference - Get Market,https://docs.kalshi.com/api-reference/market/get-market,2026-07-29,"current published API reference, retrieved 2026-07-29",2026-07-29T14:00:30Z,"Market object schema: result, settlement_value_dollars, close_time, expected_expiration_time, latest_expiration_time, settlement_timer_seconds, status fields",Kalshi-exchange-authoritative-API-schema,kalshi-family,"WebFetch summarizes rather than returning verbatim HTML; field descriptions quoted here are the tool's rendering of the docs page, not a byte-for-byte copy -- treat wording as close paraphrase of the schema, not a certified verbatim quote",not run
WMO-S7,"Live KXHIGHNY-26JUL30-T84 market instance shows status=initialized, result=empty, settlement_timer_seconds=3600, expiration_time/expected_expiration_time/latest_expiration_time populated per the NHIGH determination-timing rule, and rules_secondary text warning that 'Preliminary NWS reporting...may be subject to underlying rounding and conversion nuances'",Kalshi Exchange,Kalshi,governing-primary,primary,Kalshi Trade API v2 - Get Markets (KXHIGHNY sample),https://api.elections.kalshi.com/trade-api/v2/markets?series_ticker=KXHIGHNY&limit=2,2026-07-29,live snapshot retrieved 2026-07-29T14:00Z,2026-07-29T14:00:00Z,"JSON fields on ticker KXHIGHNY-26JUL30-T84: status, result, settlement_timer_seconds, expiration_time, expected_expiration_time, latest_expiration_time, rules_primary, rules_secondary",Kalshi-exchange-authoritative-live-market-instance,kalshi-family,"Single point-in-time snapshot of one not-yet-open contract; used only to corroborate schema/field behavior from S6, not as a settlement precedent",saved locally as kxhighny_markets_sample.json
WMO-S8,"Kalshi's own statement: 'The NWS Climate Reports (used for daily temperature markets) use local standard time when reporting daily high temperatures. This means that during Daylight Saving Time, the high temperature will be recorded between 1:00 AM and 12:59 AM local time the following day - not based on the standard midnight-to-midnight range.' Also: 'These markets settle the next morning based on the high temperature recorded in the final NWS Daily Climate Report.'",Kalshi Exchange,Kalshi Help Center,governing-primary,primary,Weather Markets (Kalshi Help Center article),https://help.kalshi.com/en/articles/13823837-weather-markets,2026-07-29,"current published help-center article, retrieved 2026-07-29",2026-07-29T14:03:00Z,Article sections on 'NWS Daily Climate Reports and Daylight Saving Time' and 'Settlement Process',Kalshi-own-explanatory-authority-on-settlement-convention,kalshi-family,"This is Kalshi's own paraphrase/explanation of NWS practice, not NWS's own text; it is arithmetically consistent with S3's 'midnight-to-midnight LST' wording (LST does not shift for DST, so LST-midnight = 1:00 AM local clock during DST) but NWSI 10-1004 does not itself spell out the DST clock-shift in those words",not run
WMO-S9,WMO's 2020/2021 amendment to WMO-386 (approved via expedited amendment procedure) updated Tables B1/B7/C6 data designators for space-weather-advisory abbreviated headings; no mention of any change to the BBB indicator (Attachment II-12) or the core heading format,World Meteorological Organization,World Meteorological Organization,governing-primary,primary,"WMO publishes update to WMO-No. 386, Manual on the Global Telecommunication System (news item)",https://community.wmo.int/en/activity-areas/aviation/news/2021-01-05,2021-01-05,news item dated 2021-01-05 describing amendment effective per WMO expedited procedure,2026-07-29T14:01:30Z,Full text of the news item (aviation/space-weather table changes),WMO-own-announcement-of-its-own-amendment-scope,wmo-386-family,"Only the WMO news announcement was read, not the underlying amendment document itself (library.wmo.int was unreachable this session -- connection refused); used only to bound the risk that the 2009-edition BBB text (S1/S1b) is stale -- residual risk that an untouched-by-this-notice revision exists elsewhere is not fully closed",not run
FRM-S1,"Provenance semirings define K-relations, positive algebra, and polynomial provenance for query answering; machinery is aimed at algebraic propagation through RA/datalog queries","Green, Karvounarakis & Tannen",ACM (PODS/SIGMOD-SIGACT-SIGART),governing-primary,primary,Provenance Semirings,https://web.cs.ucdavis.edu/~green/papers/pods07.pdf,2007-06,"PODS'07 (published version, pp.31-40)",2026-07-29T13:57:53Z,"Sections 1-6 (Definitions 3.1/3.2, Theorem 4.3, Definition 5.1)",database theory / query provenance,provenance-semirings-green-karvounarakis-tannen,"Author-hosted PDF copy of the ACM PODS'07 paper; read pp.1-6 of the PDF rendering (roughly the Abstract through start of Section 6), not the full 40-page paper",
FRM-S2,Selective classification formalizes admission as a coverage-risk (accept/abstain) tradeoff with pre-registrable probabilistic bounds,El-Yaniv & Wiener,Journal of Machine Learning Research (JMLR),governing-primary,primary,On the Foundations of Noise-free Selective Classification,https://www.jmlr.org/papers/volume11/el-yaniv10a/el-yaniv10a.pdf,2010-05,JMLR 11 (2010) 1605-1641,2026-07-29T13:57:53Z,"Section 1-3 (Definitions 1-3, the RC-trade-off game, Theorem 14 reference on p.1610)",machine learning theory / selective prediction,el-yaniv-wiener-2010,"Read pp.1-6 of the PDF (roughly through Section 3); later numbered theorems (7,8,11,14,21) are cited/quoted only where they appear verbatim in the introduction I read, not independently re-derived from their full proofs",
FRM-S3,"Bayesian-network proof that additional reports from a dependent (same) instrument are not equivalent in evidential value to reports from an independent instrument, and can even reverse sign of confirmation",Bovens & Hartmann,University of Chicago Press for the Philosophy of Science Association (Philosophy of Science journal),governing-primary,original-research,Bayesian Networks and the Problem of Unreliable Instruments,https://eprints.lse.ac.uk/2717/1/Bovens_Bayesian_Networks_Problem_2002.pdf,2002-03,"Philosophy of Science 69(1), pp.29-72 (published version, self-archived via LSE Research Online)",2026-07-29T13:59:33Z,"Sections 2-4 (Theorems 1,2,3,5,6; Figures 3.3, 4.3, 4.4; discussion pp.38-41)",philosophy of science / Bayesian confirmation theory,bovens-hartmann-2002,"Publisher-authorized author self-archive copy (LSE Research Online), identical to published version per its own cover sheet; read pp.1-16 of the PDF (through Section 4/Theorem 6), not the full 44-page article including appendix proofs",
FRM-S4,SQL:2011 formalizes exactly two temporal dimensions -- application-time (valid time) periods and system-versioned (transaction time) periods -- with system-time columns assigned only by the DBMS and historical system rows immutable,Kulkarni & Michels (IBM Corporation),ACM SIGMOD Record,governing-primary,primary,Temporal features in SQL:2011,https://sigmodrecord.org/publications/sigmodRecord/1209/pdfs/07.industry.kulkarni.pdf,2012-09,"SIGMOD Record, Vol. 41 No. 3, pp.34-43",2026-07-29T14:00:00Z,"Sections 2, 2.2, 2.3 (application-time period tables; system-versioned tables; 'Users are not allowed to update or delete historical system rows')",database standards / temporal data modeling,kulkarni-michels-sql2011,"Read pp.1-6 of 10; committee-authored survey of the ISO/IEC SQL:2011 standard text itself, not the paywalled ISO standard document",
FRM-S5,A scoring rule is proper iff quoting the true predictive distribution maximizes expected score; propriety is not automatically preserved under arbitrary combination/blending of scores,Gneiting & Raftery,Journal of the American Statistical Association / American Statistical Association,governing-primary,primary,"Strictly Proper Scoring Rules, Prediction, and Estimation",https://sites.stat.washington.edu/raftery/Research/PDF/Gneiting2007jasa.pdf,2007-03,"JASA 102(477), pp.359-378",2026-07-29T14:00:00Z,"Section 1 (Introduction) and Section 2.1 (Eq. 1-2, Theorem 1)",statistics / forecast verification theory,gneiting-raftery-2007,"Author-hosted PDF (University of Washington Dept. of Statistics), matches published JASA version; read pp.1-3 of ~20",
FRM-S6,"Brier score decomposes into Reliability, Resolution and Uncertainty terms (BS = Reliability - Resolution + Uncertainty), giving diagnostic value beyond a single pooled Brier average","ECMWF (citing Allan Murphy 1973, 1986)",European Centre for Medium-Range Weather Forecasts,secondary-analysis,secondary,"Forecast User Guide, Section 12.B: Statistical Concepts - Probabilistic Data",https://confluence.ecmwf.int/display/FUG/Section+12.B+Statistical+Concepts+-+Probabilistic+Data,,"current live version, retrieved 2026-07-29",2026-07-29T14:07:32Z,'Decomposition of the Brier score' subsection,operational forecast verification practice (official agency documentation),murphy-1973-brier-decomposition,"Murphy's original 1973 AMS paper (J. Applied Meteorology 12, 595-600) itself returned HTTP 403 from journals.ametsoc.org for both WebFetch and curl (CloudFront block) -- this ECMWF official secondary source is used instead to confirm the decomposition and its attribution; treat exact formula/derivation as EVIDENCE GAP pending primary-text access",
FRM-S7,"GRADE's admission mechanism combines four evidence-quality domains via discrete, named upgrade/downgrade steps (e.g. 'serious limitations: drop one level') starting from a design-based grade, not a weighted numerical composite score",Atkins et al. for the GRADE Working Group,BMJ,governing-primary,primary,Grading quality of evidence and strength of recommendations,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC428525/,2004-06-19,BMJ 328:1490,2026-07-29T14:03:41Z,Section 'Combining the four components' and the High/Moderate/Low/Very low definitions,evidence-based medicine / evidence grading methodology,grade-working-group,Free full text via PMC; read via extracted plain text of the full HTML article,
FRM-S8,"A critical appraisal of six prior evidence-grading systems (all checklist/summary-score style) found low inter-rater reproducibility and 'important shortcomings' in every one of them, motivating GRADE's domain-separated, non-composite design",GRADE Working Group,BMC Health Services Research / BioMed Central,governing-primary,primary,Systems for grading the quality of evidence and the strength of recommendations I: Critical appraisal of existing approaches,https://link.springer.com/article/10.1186/1472-6963-4-38,2004-12-22,BMC Health Serv Res 4:38,2026-07-29T14:02:09Z,Abstract (Background/Methods/Results/Conclusions),evidence-based medicine / evidence grading methodology,grade-working-group,"Only the Abstract rendered in the fetched page (full body text did not load in the static HTML capture, likely JS-gated); Results/Conclusions of the abstract itself were readable and are quoted, full-body sections were not verified",
FRM-S9,Empirical head-to-head comparison found a numerical composite quality-rating scale failed to flag studies at increased risk of bias that a domain-based (gate) assessment caught,BMC Research Notes authors (open-access),BioMed Central / Springer Nature,secondary-analysis,original-research,Failure of a numerical quality assessment scale to identify potential risk of bias in a systematic review: a comparison study,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4467625/,2015,"BMC Res Notes, DOI 10.1186/s13104-015-1181-1",2026-07-29T14:04:54Z,Conclusions section,"evidence-based medicine / risk-of-bias assessment methodology (single small comparison, not a large meta-study)",numerical-vs-domain-quality-scores,"Based on a small number of included studies within one existing systematic review, per the paper's own Conclusions -- limited generalizability, cited as one corroborating data point not a definitive law",
FRM-S10,SQLite has almost no native ALTER TABLE support; Alembic's render_as_batch / batch_alter_table performs a copy-and-rename workaround and does not work with foreign keys referencing the target table unless PRAGMA foreign_keys is disabled during the operation,Alembic project (SQLAlchemy),SQLAlchemy / Alembic documentation,governing-primary,primary,Running 'Batch' Migrations for SQLite and Other Databases,https://alembic.sqlalchemy.org/en/latest/batch.html,,"Alembic 1.18.5 docs, current as of retrieval",2026-07-29T14:06:26Z,'Running Batch Migrations...' overview paragraph; 'Dealing with Referencing Foreign Keys' subsection,database migration tooling (official project docs),alembic-sqlite-batch,Documentation for the latest doc build at retrieval time; not pinned to the exact Alembic version used by this repo's pyproject.toml (not checked in this task),
FRM-S11,"SQLite's ALTER TABLE natively supports only RENAME TABLE, RENAME COLUMN, ADD COLUMN, DROP COLUMN (plus SET/DROP NOT NULL as of 3.53.0); adding/removing PRIMARY KEY, UNIQUE, CHECK, FOREIGN KEY constraints or changing column types requires the 12-step manual table-rebuild procedure",SQLite Consortium,SQLite.org,governing-primary,primary,ALTER TABLE,https://www.sqlite.org/lang_altertable.html,,"current page, version notes for 3.53.0 feature",2026-07-29T14:06:02Z,Overview section; 'Making Other Kinds Of Table Schema Changes'; 'ALTER TABLE ADD COLUMN' and 'DROP COLUMN' restriction lists,database engine documentation (official),sqlite-official-docs,"Official project documentation, current live page (not a dated/versioned snapshot beyond what the page itself states)",
FRM-S12,"WAL-mode transactions are atomic once the commit record is appended to the WAL file, but durability across power loss requires PRAGMA synchronous=FULL; a documented 'WAL-Reset Bug' present in SQLite 3.7.0 through 3.51.2 (fixed in 3.51.3, 2026-03-13, with backports to 3.44.6/3.50.7) can cause database corruption specifically for multi-connection concurrent WAL writers/checkpointers",SQLite Consortium,SQLite.org,governing-primary,primary,Write-Ahead Logging,https://www.sqlite.org/wal.html,,"current page; documents the WAL-Reset Bug discovered 2026-03-03, fixed in 3.51.3 (2026-03-13)",2026-07-29T14:06:02Z,Main atomicity/durability discussion; Section 11 'The WAL-Reset Bug',database engine documentation (official),sqlite-official-docs,"Official project documentation, current live page; verified verbatim via direct curl fetch (not just a summarized WebFetch pass)",
FRM-S13,"zoneinfo pulls IANA time zone data from the OS if present, else falls back to the tzdata PyPI package; no pickled ZoneInfo is guaranteed consistent across environments with different tzdata versions; the module documents no built-in version-pinning mechanism beyond ordinary package dependency pinning",Python Software Foundation,docs.python.org,governing-primary,primary,zoneinfo -- IANA time zone support,https://docs.python.org/3/library/zoneinfo.html,,Python 3 current documentation,2026-07-29T14:07:32Z,'Data Sources' section; pickling/consistency caveat,Python standard library documentation (official),python-tz-official-docs,"Fetched via WebFetch (summarized, not a raw curl capture); the quoted sentences are presented as direct quotes by the fetch but were not independently re-verified against raw HTML in this session",
